athlete_id,firstname,lastname,age,gender,country,height,arm_span,paraclimbing_sport_class,birthday
127,Olga,KUSHCH,28.0,female,RUS,,,,1996-09-22
128,Valentina,ANTONENKO,25.0,female,RUS,,,,1999-05-15
113,Vadim,MALSHCHUKOV,26.0,male,RUS,,,,1998-04-10
111,Maksim,DIACHKOV,27.0,male,RUS,,,,1997-07-31
118,Iuliia,PANTELEEVA,26.0,female,RUS,,,,1998-08-21
120,Lev,RUDATSKIY,25.0,male,RUS,,,,1998-11-02
131,Valeriia,DERIABINA,26.0,female,RUS,,,,1998-08-08
135,Armen,TER-MINASIAN,62.0,male,RUS,,,,1962-02-08
134,Yury,SKURLATOV,82.0,male,RUS,,,,1941-12-17
139,Daniil,KORNIETCKII,25.0,male,RUS,,,,1999-02-22
122,Vlas,GAVRILOV,34.0,male,RUS,,,,1989-10-10
141,Irina,VARIK,24.0,female,RUS,,,,2000-07-10
138,Nikolai,MICHUROV,24.0,male,RUS,,,,2000-05-19
110,Iuliia,KAPLINA,31.0,female,RUS,,,,1993-05-11
140,Ilia,POPOV,25.0,male,RUS,,,,1999-07-29
133,Sergey,SIGOV,67.0,male,RUS,,,,1957-05-31
143,Petr,ZEMLIAKOV,24.0,male,RUS,,,,2000-10-05
109,Aleksandr,SHIKOV,27.0,male,RUS,,,,1997-04-01
149,Aleksei,CHERTOV ,66.0,male,RUS,,,,1958-04-17
136,Liubov,ZAKHAROVA,63.0,female,RUS,,,,1961-08-20
151,Andrei,SUSHKOV,40.0,male,RUS,,,,1984-09-07
132,Fedor,TRUKHANOV,26.0,male,RUS,,,,1998-04-20
150,Larisa,BYCHKOVSKAYA,64.0,female,RUS,,,,1960-02-03
129,Elizaveta,IVANOVA,24.0,female,RUS,172.0,,,1999-12-29
156,Yuri,STAROVOYTOV,27.0,male,RUS,,,,1996-10-17
148,Luiza,EMELEVA,24.0,female,RUS,,,,2000-02-05
160,Daniil,SHIRIAEV,23.0,male,RUS,,,,2000-12-12
163,Elena,PAUKOVA,27.0,female,RUS,,,,1997-02-13
146,Arsenii,BOGOMOLOV,28.0,male,RUS,,,,1995-12-21
142,Konstantin,GORLENKO,25.0,male,RUS,,,,1999-02-26
155,Svetlana,CHISTIAKOVA,52.0,female,RUS,,,,1972-02-29
164,Aleksei,IAKUSHEV,24.0,male,RUS,,,,2000-03-09
147,Viktoriia,MESHKOVA,24.0,female,RUS,161.0,,,2000-09-20
153,Timur,YAMALIEV,24.0,male,RUS,,,,2000-01-17
145,Denis,DIACHKOV,24.0,male,RUS,,,,2000-05-31
152,Ilia,SITKIN,24.0,male,RUS,,,,2000-02-09
171,Irina,SABITOVA,26.0,female,RUS,,,,1998-06-06
158,Polina,GOREVA,23.0,female,RUS,,,,2001-01-06
137,Ekaterina,BARASHCHUK,25.0,female,RUS,,,,1999-04-20
157,Karina,GAREEVA,23.0,female,RUS,,,,2001-06-29
144,Elena,KRASOVSKAIA,24.0,female,RUS,169.0,,,2000-05-29
168,Darina,GALAGANOVA,23.0,female,RUS,,,,2001-07-27
162,Igor,BARSKII,27.0,male,RUS,,,,1997-06-13
180,Oleg,ANTONOV,27.0,male,RUS,,,,1997-01-21
161,Oleg,BUSHIN,23.0,male,RUS,,,,2001-04-19
159,Roman,BOZHKO,23.0,male,RUS,,,,2001-01-11
169,Maria,SARSADSKIKH,27.0,female,RUS,,,,1997-05-23
177,Daria,VERETENINA,23.0,female,RUS,,,,2001-04-18
166,Mariia,YURINA,23.0,female,RUS,,,,2000-10-13
154,Aleksandr,SHILOV,30.0,male,RUS,,,,1994-03-15
182,Dmitry,GOLOV,25.0,male,RUS,,,,1999-02-14
170,Grigorii,PESTOV,24.0,male,RUS,,,,2000-07-02
183,Veronika,VOLKOVA,37.0,female,RUS,,,,1987-04-20
184,Elizaveta,LAPENKOVA,25.0,female,RUS,,,,1998-11-25
179,Violetta,CHERNYKH,23.0,female,RUS,,,,2001-05-20
173,Semen,OVCHINNIKOV,22.0,male,RUS,172.0,,,2002-04-08
186,Vera,MALAMID,72.0,female,RUS,,,,1951-11-09
188,Andrei,SMYK,23.0,male,RUS,,,,2001-05-19
190,Milena,VOLOCHKO,23.0,female,RUS,,,,2001-06-27
195,Almaz,NAGAEV,23.0,male,RUS,,,,2001-04-05
176,Daria,FURMANOVA,22.0,female,RUS,,,,2002-08-13
174,Sofiia,KESSEL,22.0,female,RUS,,,,2002-10-03
167,Georgii,MOROZOV ,24.0,male,RUS,,,,2000-05-14
196,Anton,KULBA,22.0,male,RUS,174.0,,,2002-04-26
198,Sergei,RUKIN,24.0,male,RUS,,,,2000-01-21
181,Polina,AKSENOVA,22.0,female,RUS,,,,2001-12-11
172,Vladislav,SHEVCHENKO,26.0,male,RUS,,,,1998-07-30
191,Anastasiia,EVGENEVA,23.0,female,RUS,,,,2001-03-13
185,Dmitrii,POPOV,27.0,male,RUS,,,,1997-07-10
189,Ilia,DANILIN,23.0,male,RUS,,,,2001-04-25
165,Nikolai,IARILOVETS,25.0,male,RUS,,,,1999-04-29
178,Elizaveta,TROKINA,22.0,female,RUS,,,,2002-05-20
175,Polina,KULAGINA,22.0,female,RUS,,,,2002-02-24
211,Svetlana,SHAROVA,32.0,female,RUS,,,,1992-07-10
201,Daria,LEZHNINA,27.0,female,RUS,,,,1997-09-25
199,Valeriia,SLOBODCHIKOVA,22.0,female,RUS,,,,2002-06-17
200,Danil,OGORODNIKOV,23.0,male,RUS,,,,2001-07-17
192,Igor,BOBRENEV,22.0,male,RUS,,,,2002-03-24
203,Galina,KUZMINA,79.0,female,RUS,,,,1945-09-25
202,Polina,LUKASHEVA,22.0,female,RUS,,,,2002-07-17
206,Oleg,PEYSAKHOVICH,27.0,male,RUS,,,,1997-04-04
204,Viacheslav,VOLKOV,22.0,male,RUS,,,,2002-04-27
217,Aleksandr,KHRAMTCOV,23.0,male,RUS,,,,2000-10-23
187,Timofei,KARPOV,22.0,male,RUS,,,,2002-02-12
207,Elizaveta,GOFMAN,21.0,female,RUS,,,,2003-08-01
193,Kseniia,PROKOFEVA,25.0,female,RUS,,,,1999-09-16
212,Alena,PASHNINA,22.0,female,RUS,,,,2002-04-28
208,Kirill,IUDIN,22.0,male,RUS,,,,2002-06-29
218,Daria,POTAPOVA,21.0,female,RUS,,,,2002-12-11
215,Vladimir,ZAKHAROV,21.0,male,RUS,,,,2003-06-27
226,Olesya,PROSEKOVA,25.0,female,RUS,,,,1999-04-06
210,Egor,DULUB,23.0,male,RUS,,,,2000-12-17
214,Kseniia,KRIVOSHEEVA,25.0,female,RUS,,,,1999-06-27
219,Iuliia,PANFILOVA,21.0,female,RUS,,,,2003-04-10
230,Artemii,DERBYSHEV,22.0,male,RUS,,,,2002-05-25
232,Ivan,ZEMLIAKOV,21.0,male,RUS,,,,2003-03-05
234,Denis,KARPIKOV,26.0,male,RUS,,,,1998-09-08
235,Svetlana,TIULIUSH,59.0,female,RUS,,,,1965-03-01
224,Demyan,ZAYTSEV,25.0,male,RUS,,,,1999-05-21
236,Dmitrii,KOSTIN,22.0,male,RUS,,,,2002-05-13
237,Iuliia,OVCHINNIKOVA,22.0,female,RUS,,,,2002-06-14
238,Konstantin,MITIN,34.0,male,RUS,,,,1990-09-18
241,Tagir,IZMAILOV,29.0,male,RUS,,,,1995-06-20
242,Igor,GUSAK,52.0,male,RUS,,,,1972-06-11
243,Artem,KOSKOV,22.0,male,RUS,,,,2002-06-17
244,Anastasiia,VOLKOVA,21.0,female,RUS,,,,2003-01-14
245,Aleksey,ZVEREV,21.0,male,RUS,,,,2003-08-06
247,Sofiia,KUZAKOVA,21.0,female,RUS,,,,2003-09-18
239,Nikolai,MOROZOV,29.0,male,RUS,,,,1994-12-03
248,Marina,SIUTKINA,20.0,female,RUS,,,,2004-02-10
249,Alisa,LESHKINA,21.0,female,RUS,,,,2003-09-16
250,Sofia,POMYKALOVA,21.0,female,RUS,,,,2003-08-07
251,Maksim,RYZHOV,20.0,male,RUS,,,,2004-01-29
254,Danila,UKOLOV,21.0,male,RUS,,,,2002-10-17
256,Alexandra,IVSHINA,19.0,female,RUS,,,,2004-11-10
257,Sofia,IVANOVA,28.0,female,RUS,,,,1996-07-12
258,Dmitry,ZADOYA,27.0,male,RUS,,,,1997-09-08
255,Kirill,BELIANKIN,19.0,male,RUS,,,,2004-12-15
259,Anastasia,CHELMAKINA,27.0,female,RUS,,,,1997-07-02
209,Serafima,SUBBOTINA,22.0,female,RUS,,,,2002-08-10
222,Kseniia,PETROVA,25.0,female,RUS,,,,1999-05-11
229,Svetlana,SERGEEVA,22.0,female,RUS,,,,2002-09-27
205,Vladislav,TERLEEV,24.0,male,RUS,,,,2000-02-25
216,Alexsandr,SEREBRENNIKOV,23.0,male,RUS,,,,2000-10-13
265,Dmitrii,TUNOSHENSKII,21.0,male,RUS,,,,2003-07-31
266,Egor,BABICHEV,21.0,male,RUS,,,,2003-03-05
267,Elena,MATIAK-IABLUCHKINA,21.0,female,RUS,,,,2003-09-19
213,Dmitrii,BRAGIN,22.0,male,RUS,,,,2001-12-30
268,Kirill,POLEVOI,19.0,male,RUS,,,,2004-12-29
269,Lev,SHCHERBAKOV,20.0,male,RUS,,,,2004-09-04
197,Elena,REMIZOVA,23.0,female,RUS,,,,2000-12-21
233,Pavel,DANILOV,25.0,male,RUS,,,,1998-10-31
225,Evgeny,KUZIN,21.0,male,RUS,,,,2003-04-17
223,Vasily, ABDURAKHMANOV,26.0,male,RUS,,,,1998-05-08
220,Kamilla,KUSHAEVA,22.0,female,RUS,,,,2002-07-21
271,Maxim,SEMENOV,39.0,male,RUS,,,,1985-05-20
273,Daria,GARKINA,21.0,female,RUS,,,,2003-01-06
221,Mikhail,BABICHEV,22.0,male,RUS,,,,2002-09-12
275,Timur,ABDURASHITOV,42.0,male,RUS,,,"Limited Range, Power & Stability 2: RP2",1982-04-21
277,Mariia,PLIASKINA,21.0,female,RUS,,,,2003-09-24
227,Anastasia,KURMACHEVA,22.0,female,RUS,,,,2002-01-15
274,Maksim,MAIOROV,29.0,male,RUS,,,Partial-arm / Partial-armed Climbing: AU2,1995-01-14
231,Sergei,TIUPYSHEV,23.0,male,RUS,,,,2000-10-21
276,Egor,GOLUBTSOV,20.0,male,RUS,,,,2003-12-19
194,Daria,KUZNETSOVA,23.0,female,RUS,,,,2001-03-06
278,Marta,VODILOVA,20.0,female,RUS,,,,2004-03-18
280,Maria,FISEYSKAYA,20.0,female,RUS,,,,2004-05-15
281,Mayya,BASANETS,25.0,female,RUS,,,,1999-07-01
282,Alexandre,DEVAUD,51.0,male,SUI,,,,1973-03-28
284,Andrea,LIETHA,,male,SUI,,,,
283,Andy,LAUBER,46.0,male,SUI,,,,1978-04-25
285,Christoph,VONAESCH,56.0,male,SUI,,,,1968-05-22
286,Christian,ZWAHLEN,50.0,male,SUI,,,,1974-06-12
228,Iana,GULSTEN,22.0,female,RUS,,,,2002-02-23
240,Eduard,DAUKAEV,23.0,male,RUS,,,,2001-07-11
292,Pirmin,SCHEUBER,37.0,male,SUI,,,,1986-10-17
246,Danil,PUDRIKOV,24.0,male,RUS,,,,2000-04-08
293,Hanspeter,SIGRIST,64.0,male,SUI,,,,1959-10-10
290,Reto,HÄNGGI,55.0,male,SUI,,,,1969-05-21
296,Jean-Luc,ZILTENER,61.0,male,SUI,,,,1963-07-25
297,Alex,WYDLER,48.0,male,SUI,,,,1976-09-27
295,Christian,SCHLEGEL,63.0,male,SUI,,,,1961-02-20
298,Sebastian,STUPPAN,41.0,male,SUI,,,,1982-10-28
301,Loïc,GAIDIOZ,40.0,male,SUI,,,,1983-11-12
303,Johan,MUS,54.0,male,BEL,,,,1970-05-04
252,Sergei,EKIMOV,21.0,male,RUS,,,,2003-03-04
304,Jan,VERSCHOTEN,,male,BEL,,,,
310,Raphael,FERNANDEZ,38.0,male,BEL,,,,1986-04-26
308,Stephane,HANSSENS,38.0,male,BEL,,,,1986-07-18
311,Nicolas,FARCY,41.0,male,BEL,,,,1983-07-31
270,Daniil,LISICHENKO,26.0,male,RUS,,,Visually Impaired Climbing: B1,1998-07-18
306,Muriel,SARKANY,50.0,female,BEL,,,,1974-08-05
264,Ekaterina,CHEREDNICHENKO,20.0,female,RUS,,,,2004-07-16
309,Chloé,GRAFTIAUX,37.0,female,BEL,,,,1987-07-18
262,Leonid,LITVINOV,21.0,male,RUS,,,,2003-03-14
313,Lukas,GEUKENS,29.0,male,BEL,,,,1994-11-02
253,Varvara,BUT,24.0,female,RUS,,,,2000-02-23
263,Varvara,PANASINA,22.0,female,RUS,,,,2002-03-30
294,Lara,ALLET,47.0,female,SUI,,,,1977-02-22
319,Thomas,SALAKENOS,30.0,male,BEL,,,,1994-06-03
322,Christophe,DEPOTTER,52.0,male,BEL,,,,1972-02-15
307,Nathalie,HANSSENS,39.0,female,BEL,,,,1984-11-18
261,Vladislav,LITVINOV,24.0,male,RUS,,,,2000-07-31
279,Iurii,KOVALEV,20.0,male,RUS,173.0,,,2004-05-16
260,Alexandr,MEZYAEV,21.0,male,RUS,,,,2003-05-02
291,Robert,REHNELT,60.0,male,SUI,,,,1964-06-12
288,David,GISLER,45.0,male,SUI,,,,1979-08-02
317,Antoine,KAUFFMANN,30.0,male,BEL,,,,1993-10-15
318,Simon,LORENZI,27.0,male,BEL,168.0,180.0,,1997-02-09
326,Patti,SCHOCKAERT,63.0,female,BEL,,,,1961-03-21
324,Rob,DENAYER,26.0,male,BEL,,,,1998-03-23
300,Nadine,BASIEUX,39.0,female,SUI,,,,1985-04-13
316,Chloe,CAULIER,27.0,female,BEL,166.0,,,1996-11-18
321,Celine,CUYPERS,25.0,female,BEL,,,,1998-12-11
331,Didier,MOTTART,46.0,male,BEL,,,,1978-07-18
330,Olivier,ROUQUETTE,40.0,male,BEL,,,,1984-01-08
323,Elfe,CLAES,24.0,female,BEL,,,,1999-11-14
272,Ilgam,MAKHMUTOV,39.0,male,RUS,,,Single-arm / Single-armed Climbing: AU1,1985-09-20
335,Laure-Anne,STEVENS,23.0,female,BEL,,,,2000-12-07
320,Nicolas,COLLIN,26.0,male,BEL,179.0,,,1998-03-24
327,Arnaud,ANSION,26.0,male,BEL,,,,1998-02-27
287,Didier,BERTHOLD,43.0,male,SUI,,,,1981-08-06
337,Merlin,MATHEYS,25.0,male,BEL,,,,1999-07-14
340,Louis,DEBRULLE,23.0,male,BEL,,,,2000-12-24
342,Aiko,HERBOS,23.0,male,BEL,,,,2001-07-16
339,Sven,LEMPEREUR,25.0,male,BEL,,,,1999-01-28
344,Brieuc,BASTIN,23.0,male,BEL,,,,2001-08-30
343,Ine,VAN ZEGBROECK,23.0,female,BEL,,,,2001-03-13
336,Lukas,FRANCKAERT,24.0,male,BEL,,,,2000-02-16
299,Christof,LOOSER,49.0,male,SUI,,,,1975-06-25
347,Sébastien,CAVIOLA,24.0,male,BEL,,,,1999-11-26
348,Luca,FERRARI,22.0,male,BEL,,,,2002-07-22
345,Lionel,BAUDUIN,22.0,male,BEL,,,,2001-11-28
349,Lucie,DELCOIGNE,22.0,female,BEL,,,,2002-02-12
305,Oliver,COENEN,,male,BEL,,,,
333,Liselotte,DE BRUYN,35.0,female,BEL,,,,1988-11-01
350,Charlène,TILBORGHS,22.0,female,BEL,,,,2002-02-12
302,Alec,BRONITZ,53.0,male,BEL,,,,1971-06-28
351,Frederik,LEYS,37.0,male,BEL,,,Single-leg/ Single-legged Climbing: AL2,1987-04-24
354,Jasper,VAN MALDEREN,21.0,male,BEL,,,,2003-01-11
289,Johnny,SCHELKER,56.0,male,SUI,,,,1968-02-27
353,Robby,TOTH,39.0,male,BEL,,,,1985-09-25
355,Ferre,BEIRENS,21.0,male,BEL,,,,2003-08-19
329,Elodie,ORBAEN,41.0,female,BEL,,,,1983-06-17
360,Christophe,HENRY,39.0,male,BEL,,,,1985-08-26
359,Wannes,JAMIN,31.0,male,BEL,,,,1993-03-25
362,Franklin,FLAMENT,21.0,male,BEL,,,,2003-05-29
361,Lisa,HARDIQUEST,22.0,female,BEL,,,,2001-10-27
315,Anak,VERHOEVEN,28.0,female,BEL,,,,1996-07-15
364,Jeremy,LOMBAERTS,31.0,male,BEL,,,,1993-04-10
367,John-Alexandre,VINK,21.0,male,BEL,,,,2002-12-19
366,Mats,VANCRAEYNEST,22.0,male,BEL,,,,2001-11-30
356,Ties,VANCRAEYNEST,21.0,male,BEL,177.0,,,2003-03-16
338,Harold,PEETERS,24.0,male,BEL,,,,2000-04-16
371,Christel,VAN DE VOORDE,65.0,female,BEL,,,,1959-01-15
372,Joris,AERTS,30.0,male,BEL,,,,1994-02-10
328,Heloïse,DOUMONT,26.0,female,BEL,159.0,,,1998-06-10
363,Lucie,WATILLON,21.0,female,BEL,,,,2003-07-28
376,Tine,WALRAEVENS,20.0,female,BEL,,,,2004-06-24
378,Marco,JUBES,41.0,male,BEL,,,,1983-04-19
379,Olivier,VERRAVER,49.0,male,BEL,,,,1975-08-20
375,Nore,PELLENS,20.0,female,BEL,,,,2004-03-07
352,Sam,DE SMET,47.0,male,BEL,,,,1977-05-27
312,Sébastien,BERTHE,31.0,male,BEL,,,,1993-08-02
381,Arius,THIRY,35.0,male,BEL,,,,1989-08-06
380,Jean,DORSIMOND,59.0,male,BEL,,,,1965-09-24
358,Camille,DE WIT,21.0,female,BEL,,,,2002-12-31
373,Hannes,VAN DUYSEN,20.0,male,BEL,175.0,,,2004-09-04
384,Ferre,HUYLEBROEK,21.0,male,BEL,,,,2003-05-25
385,Morgane,DAELE,22.0,female,BEL,,,,2002-03-03
387,Donatien,MEEUS,23.0,male,BEL,,,,2001-04-20
389,Alexy,FAUGERE,,male,FRA,,,,
390,Antoine,GIRARD,24.0,male,FRA,,,,2000-06-02
391,Anthony,LAMICHE,,male,FRA,,,,
393,Antoine,PECHER,,male,FRA,,,,
369,Arno,LUYPAERT,25.0,male,BEL,,,,1998-12-18
314,Loïc,TIMMERMANS,29.0,male,BEL,,,,1995-04-08
341,Peter,CUYPERS,65.0,male,BEL,,,,1959-01-09
396,Bruno,MESTRE,,male,FRA,,,,
397,Bruno,RAVANAT,,male,FRA,,,,
374,Arthur,BOUQUET,20.0,male,BEL,,,,2004-07-12
368,Pauline,OURY,21.0,female,BEL,,,,2003-03-04
400,Damien,BOITARD,,male,FRA,,,,
403,Didier,GANDY,,male,FRA,,,,
334,Cathinka,TILBORGHS,24.0,female,BEL,,,,2000-01-11
325,Tijl,SMITZ,43.0,male,BEL,,,,1981-01-29
346,Marie,COLOT,23.0,female,BEL,,,,2001-08-14
406,Didier,RABOUTOU,,male,FRA,,,,
402,Daniel,DU LAC,47.0,male,FRA,,,,1976-11-03
357,Rafflesia,REIJNIERS,22.0,female,BEL,,,,2002-03-27
405,Didier,MENELLI,,male,FRA,,,,
382,François,MERTENS DE WILMARS,21.0,male,BEL,,,,2003-09-13
404,Damien,GIRARD,,male,FRA,,,,
